Pick,Team,WR,RB,QB
1,Las Vegas Raiders,Need,Drafted Ashton Jeanty R1 in 2025,Need
2,New York Jets,Need,Drafted Breece Hall R2 in 2022,Need
3,Arizona Cardinals,"Michael Wilson, Marvin Harrison Jr",Need,Need
4,Tennessee Titans,Need,Need,Drafted Cam Ward in R1 2025
5,New York Giants,Need,Need,Drafted Jackson Dart in R1 2025
6,Cleveland Browns,Need,Drafted Quinshon Judkins R2 in 2025,"Drafted Shedeur Sanders, Dillon Gabriel ($60mil to Deshaun Watson)"
7,Washington Commanders,Need,Need,Drafted Jayden Daniels in R1 2024
8,New Orleans Saints,Need,Travis Etienne ($12mil/year),Drafted Tyler Shough in R2 2025
9,Kansas City Chiefs,Need,Kenneth Walker ($15mil/year),Patrick Mahomes ($50mil/year)
10,Cincinnati Bengals,"Ja'marr Chase, Tee Higgins",Drafted Chase Brown R6 in 2022,Joe Burrow ($50mil/year)
11,Miami Dolphins,Need,Drafted De'Von Achane R3 in 2023,Signed Malik Willis to 3-year $68mil
12,Dallas Cowboys,"George Pickens, Ceedee Lamb",Javonte Williams ($8mil/year),Dak Prescott ($60mil/year)
13,Los Angeles Rams,"Puka Nacua, Davante Adams",Kyren Williams ($11mil/year),Matthew Stafford ($50mil/year)
14,Baltimore Ravens,Need,Derrick Henry ($15mil/year),Lamar Jackson ($50mil/year)
15,Tampa Bay Buccaneers,"Chris Godwin, Emeka Egbuka",Drafted Bucky Irving R4 in 2024,Baker Mayfield ($35mil/year)
16,New York Jets,,,
17,Detroit Lions,"Amon-Ra St. Brown, Jameson Williams",Drafted Jahmyr Gibbs R1 in 2023,Jared Goff ($50mil/year)
18,Minnesota Vikings,"Justin Jefferson, Jordan Addison",Aaron Jones ($10mil/year),Drafted JJ McCarthy R1 in 2024 (Signed Kyler Murray)
19,Carolina Panthers,Need,Chubba Hubbard ($7mil/year) & Drafted Jonathon Brooks R2 in 2024,Drafted Bryce Young R1 in 2023
20,Dallas Cowboys,,,
21,Pittsburgh Steelers,"DK Metcalf, Michael Pittman",Rico Dowdle ($6mil/year) & Jaylen Warren ($7mil/year),Need
22,Los Angeles Chargers,"Quentin Johnston, Ladd McConkey, Tre Harris",Drafted Omarion Hampton R1 in 2025,Justin Herbert ($50mil/year)
23,Philadelphia Eagles,Need,Saquon Barkley ($20mil/year),Jalen Hurts ($50mil/year)
24,Cleveland Browns,Need,,
25,Chicago Bears,"Luther Burden, Rome Odunze",Drafted Kyle Monangai R7 in 2025 & D'Andre Swift ($9mil/year),Drafted Caleb Williams R1 in 2024
26,Buffalo Bills,"Khalil Shakir, DJ Moore",James Cook ($11.5mil/year),Josh Allen ($50mil/year)
27,San Francisco 49ers,Need,Christian McCaffrey ($17mil/year),Brock Purdy ($50mil/year)
28,Houston Texans,"Nico Collins, Jayden Higgins",Need,Drafted CJ Stroud R1 in 2023
29,Kansas City Chiefs,,,
30,Miami Dolphins,,,
31,New England Patriots,"Romeo Doubs, Kayshon Boutte, ",Drafted TreVeyon Henderson R2 in 2025,Drafted Drake Maye R1 in 2024
32,Seattle Seahawks,"JSN, Rashid Shaheed",Drafted Zach Charbonnet R2 in 2023,Sam Darnold ($30mil/year)
,,,,
,Number of Teams with Needs,14,5,4
